"Municipio";"Nenhuma";"De 1 a 3 consultas";"De 4 a 6 consultas";"7 ou mais consultas";"Ignorado";"Total"
"250410 Carrapateira";-;1;4;17;-;22
"250415 Casserengue";-;2;17;62;-;81
"250420 Catingueira";-;4;27;30;-;61
"250430 Catole do Rocha";2;14;121;256;1;394
"250435 Caturite";2;3;11;62;-;78
"250440 Conceicao";8;17;122;107;-;254
"250450 Condado";2;7;24;47;-;80
"250460 Conde";6;20;108;343;12;489
"250470 Congo";2;5;16;64;1;88
"250480 Coremas";5;9;54;122;-;190
"250485 Coxixola";-;1;7;6;-;14
"250490 Cruz do Espirito Santo";5;21;114;140;4;284
"250500 Cubati";1;3;18;79;1;102
"250510 Cuite";9;8;62;174;2;255
"250523 Cuite de Mamanguape";2;11;30;35;6;84
"250520 Cuitegi";5;8;26;69;1;109
"250527 Curral de Cima";1;2;21;42;10;76
"250530 Curral Velho";3;-;10;19;-;32
"250535 Damiao";-;3;15;48;-;66
"250540 Desterro";1;7;42;65;-;115
"250560 Diamante";4;3;20;45;-;72
"250570 Dona Ines";5;2;18;108;-;133
"250580 Duas Estradas";3;1;8;40;-;52
"250590 Emas";1;1;12;22;-;36
"250600 Esperanca";8;22;94;385;5;514
"250610 Fagundes";4;10;58;117;1;190
"250620 Frei Martinho";-;1;7;24;-;32
"250625 Gado Bravo";2;9;33;81;1;126
"250630 Guarabira";22;31;167;691;4;915
"250640 Gurinhem";4;8;71;126;5;214
"250650 Gurjao";-;2;2;28;1;33
